id,description,mfg,mfg_id,category_id
100402,R-R OP-AMP DUAL HS,Texas Instruments,TLV2372IDR,25
100403,REF VOLT PREC LDO,National Semiconductor,LM4130AIM5-2.5/NOPB,25
100404,REG BUCK 3A STEPDOWN,Micrel Inc.,MIC4576WT,25
100405,42V 3A REG BUCK,National Semiconductor,LM25576MH/NOPB,25
100406,1A REG LDO POS,"Diodes, Inc.",AP1122EG-13,25
100407,500mA 3.3V REG LDO LN,Micrel Inc.,MIC5209-3.3YS,25
100408,1.5V 1.5A  REG LDO POS,STMicroelectronics,LD1086D2T15R,25
100409,2.5V 3A REG LDO POS,STMicroelectronics,LD1085D2M25R,25
100410,REG NEG LDO ADJ V 1A,National Semiconductor,LM2991S/NOPB,25
100411,REG SIMPLE SWITCHER,National Semiconductor,LM2677T-3.3,25
100412,REG UNIVERSAL SW SUBSYS,National Semiconductor,LM78S40CN/NOPB,25
100413,REMOTE 8BIT I/O EXP,Texas Instruments,PCA9557DGVR,25
100414,SAMPLE & HOLD AMP 700NS,Analog Devices Inc,AD781JNZ,25
100415,16K 2.5V-5.5V SERIAL EEPROM,Microchip Technology,24LC16B/SN,25
100416,250K SPARTAN-3E FPGA,"Xilinx, Inc.",XC3S250E-4PQG208C,25
100417,500K SPARTAN-3E FPGA,"Xilinx, Inc.",XC3S500E-4PQG208C,25
100418,100K SPARTAN-II FPGA,"Xilinx, Inc.",XC2S100-5PQG208C,25
100419,200K SPARTAN-II FPGA,"Xilinx, Inc.",XC2S200-5PQG208C,25
100420,64K 2.5V 8KX8 SRL EE,Microchip Technology,24LC64-I/SNG,25
100421,5 Ohm Analog Quad Switch,Analog Devices Inc,ADG451BRZ,25
100422,Analog Quad Switch SPST,Intersil,DG411DYZ,25
100423,SW ANALOG QUAD SPST,Intersil,DG412DYZ,25
100424,SWITCH ANLG QUAD POSLOG,Analog Devices Inc,ADG1212YRUZ,25
100425,SWITCH ANLG QUAD SPST,"Analog Devices, Inc.",ADG1211YRUZ,25
100426,TRIP 3-IN NAND GATE,Texas Instruments,SN74LV10ADR,25
100427,USB INTERFACE SX2,Cypress Semiconductor Corp,CY7C68001-56PVXC,25
100428,USB TO PARALLEL FIFO,FTDI,FT245RL,25
100429,USB-PARALLEL FIFO MODULE,DLP Design,UM245R,25
100430,VOLT COMPARATOR QUAD,Texas Instruments,TLC3704CNSR,25
100431,VOLT-FDBK AMP DUAL HS,Analog Devices Inc,AD8066ARZ,25
100432,VOLT-FDBK AMP SNGL,Analog Devices Inc,AD8055AR,25
100433,5V Voltage Comparator,Linear Technology,LT1011CS8,25
100434,WAVEFORM GEN PROG,Analog Devices Inc,AD9833BRM,25
100435,XLATOR DL TTL/CMOS-PECL,ON Semiconductor,MC100EPT22DG,25
100436,.27uH ±5% FIXED,Panasonic - ECG,ELJ-NDR27JF,26
100437,100uH ±10% IHM-2 P12,Vishay/Dale,IHM-2 100 ±10% P12,26
100438,100uH ±10% TOROID,J.W. Miller,PM2120-101K-RC,26
100439,10uH 140mA ±10%,TDK Corporation,GLF2012T100K,26
100440,1uH 1.2A,Murata Electronics,LQM31PN1R0M00L,26
100441,4700nH 90mA ±5%,EPCOS Inc,B82498F1472J,26
100442,47uH 230mA ±10%,EPCOS Inc,B82422H1473K,26
100443,68uH ±15% Vertical,J.W. Miller,2311-V-RC,26
100444,2mH CHOKE COMMON MODE,J.W. Miller,PM3700-50-RC,26
100445,100uH ±10% CHOKE RF HI CURR,J.W. Miller,1130-101K-RC,26
100446,22uH COIL MOLDED SHIELDED,API Delevan Inc,1641R-223K,26
100447,47uH COIL MOLDED SHIELDED,API Delevan Inc,1641R-473K,26
100448,4.7uH ±20% HIGH CURRENT,Coiltronics,HCM0703-4R7-R,26
100449,4.7uH HIGH CURRENT,Coiltronics,HCP0703-4R7-R,26
100450,IHM-2 68 ±10% P12,Vishay/Dale,IHM-2 68 ±10% P12,26
100451,10.2uH 4.3A 260KHz KLIPMT,Pulse,P0845NL,26
100452,1.5uH 50mA ±10% MULTILAYER,TDK Corporation,MLF1608A1R5K,26
100453,2.2uH 50mA ±10% MULTILAYER,TDK Corporation,MLF2012A2R2K,26
100454,15uH 5A 260KHz PWR,Pulse,P0846SNL,26
100455,15uH PWR UNSHIELD,Pulse,P0751.153NLT,26
100456,22uH PWR UNSHIELD,Pulse Electronics Corp.,P0751.223NLT,26
100457,4.7uH PWR UNSHIELD,Pulse Electronics Corp.,P0751.472NLT,26
100458,6.8uH PWR UNSHIELD,Pulse,P0751.682NLT,26
100459,22uH SHIELD PWR 10145,TDK Corporation,SLF10145T-220M1R9-PF,26
100460,33uH SHIELD PWR,Coiltronics,DR127-330-R,26
100461,1.2KV 7A N-CH,Microsemi,APT7M120B,27
100462,1000V 6.5A N-CH,STMicroelectronics,STF8NK100Z,27
100463,100V 180A N-CH,IXYS,IXTP180N10T,27
100464,100V 44A N-CH,IXYS,IXTY44N10T,27
100465,100V 52A P-CH,IXYS,IXTA52P10P,27
100466,100V 700mA P-CH,"Zetex, Inc.",ZXMP10A13FTA,27
100467,100V 800mA N-CH,"Zetex, Inc.",ZXMN10A07FTA,27
100468,1500V 4A N-CH,STMicroelectronics,STW4N150,27
100469,1000V 3A N-CH,STMicroelectronics,STP3NB100,27
100470,200V 60mA N-CH,"Zetex, Inc.",ZVN3320FTA,27
100471,250V 16A N-CH,Fairchild Semiconductor,FQD16N25CTM,27
100472,250V 90A N-CH,IXYS,IXTK90N25L2,27
100473,300V 60A  N-CH,STMicroelectronics,STW75NF30,27
100474,30V 11.6A N-CH,Fairchild Semiconductor,FDS8880,27
100475,30V 5.3A  P-CH,Fairchild Semiconductor,SI9435DY,27
100476,40V 80A N-CH,Fairchild Semiconductor,FDP8441,27
