id,description,mfg,mfg_id,category_id
100972,Enclosure End Plate - UHV - Banana End  - Silked,Rainbow Signs,,40
100973,Dual Die Mux Enclosure w/End Plates,,1455L1201,39
100974,Dual Die Mux Enclosure - End Plate - CBITS (INPUT?)  - Mach,,100974,39
100975,Dual Die Mux Enclosure - End Plate - Banana (OUTPUT?)  - Mach,,100975,39
100976,Manual Test Station Enclosure - Chassis - Raw,Hammond Manufacturing,1444-24,39
100977,Manual Test Station Enclosure - Base,Hammond Manufacturing,1434-22,39
100978,Manual Test Station Enclosure - Back Panel - Mach,,100978,39
100979,Manual Test Station Enclosure - Lid - Raw,,100979,39
100981,Manual Test Station Enclosure - Cover - Mach,,100981,39
100983,AC Input Connector,Qualtek,703W-00/03,4
100984,DC Output Connector,Kycon,KPJX-PM-4S,4
100985,SWITCH ROCKER DPST 16A 125V,Cherry Electrical,WRG32F2FBBNN,30
100986,36V Power Supply,TDK Corporation,SWS60036,42
100987,#8 Spade Connector,Tyco Electronics,1-322249-0,4
100988,1/2” Hole Plug Black,Eagle Plastic Devices,561-50BG14B,33
100989,6-32 x 1/4 Screw Phillips PH,B&F Fastener Supply,PMS 632 0025 PH,24
100995,6-32 x 1/2 Screw Phillips PH,B&F Fastener Supply,PMS 632 0050 PH,24
100996,M2.5 x 8 Screw,N/A,N/A,24
100997,M4 x 6 Screw,N/A,N/A,24
100998,M4 x 10 Screw,N/A,N/A,24
100999,#4-40 Nut Zinc,B&F Fastener Supply,HNZ440,24
101000,#6 Flat Washer,B&F Fastener Supply,#6FWZ,24
101001,#6 Lock Washer Internal Star,B&F Fastener Supply,INT LWZ 006,24
101002,#6-32 Nut Zinc,B&F Fastener Supply,HNZ632,24
101003,36V V/A Rating Power Supply Label,Mavericklabel.com,101003,41
101004,16awg wire BLK,,,43
101005,20awg wire RED,,,43
101007,Inductor Box Warning Label,Mavericklabel.com,101007,41
101008,CE Mark Label,Mavericklabel.com,101008,41
101009,FTI Name-Address Label,Mavericklabel.com,101009,41
101010,Rubber Feet 3/4 x 5/16 Gray,Liberty / Brainerd,439XC,33
101011,AC Power Cord 2.5M 3 x 1.25 5-15P,Qualtek,393001-01,36
101012,"PS Cable KPPX-4P 40"" 22awg 4 cond",Cable Conn,99-22610-00,36
101013,200V 8A Ult Fast,STMicroelectronics,STTH802FP,6
101014,20awg wire GRN,,,43
101015,20awg wire BLK,,,43
101016,16awg wire YLW,,,43
101018,Inductor Box Series SP2,SAE,,38
101031,10K Ohm 1/8W ±1%,KOA Speer,RK73H2ATTD1002F,1
101032,56.2K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF5622,1
101033,560 Ohm 1/16W ±1%,,,1
101034,619 Ohm 1/4W ±1%,,,1
101035,300 Ohm 1/4W ±5%,,,1
101036,3.32 Ohm 1/4W ±1%,,,1
101037,130 Ohm 1/16W ±1%,,,1
101038,0 Ohm 1/4W ±5%,,,1
101040,CAP Charger SP4.50,SAE,,38
101045,85V 200A N-CH,IXYS,IXTP200N085T,27
101047,Solder Tip,Weller,PTS8,33
101054,330pF 50V ±5% CERAM X7R,Kemet,C1206C331J5GACTU,3
101056,.047uF 100V ±10% CERAM X7R,,,3
101057,9.09K Ohm 1/4W ±1%,,,1
101058,9.53K Ohm 1/8W ±1%,,,1
101059,820 Ohm 1/4W ±1%,Yageo Corporation,RC1206FR-07825RL,1
101062,1000V 3.5A N-CH,STMicroelectronics,STP5NK100Z,27
101063,10 Ohm 30W ±1%,"Precision Resistor Co., Inc.",SM3726N,1
101064,30V 5.1A P-CH,International Rectifier,IRFHS9351TRPBF,27
101065,30V 8.5A P-CH,International Rectifier,IRFHS9301TRPBF,27
101066,10000uF 80V ±20% ELECT TUP SERIES,Panasonic - ECG,ECE-T1KA103FA,3
101079,Inductor Box Enclosure - Lid - Steel,"D&D Metal Products, Inc.",101079,39
101084,AC Motherboard SP7,SAE,D18397,38
101085,Pulse Generator SP5,SAE,,38
101086,High Power SP5,SAE,,38
101087,High Voltage SP6,SAE,,38
101088,Rg Board SP3,SAE,,38
101090,0 Ohm 1/8W ±5%,"Stackpole Electronics, Inc.",RMCF 1/10 0 R,1
101100,Surge Current Module SP1,SAE,D19311,38
101101,Manual Test Station Enclosure - Back Panel - Silk,,,39
101102,Manual Test Station Enclosure - Back Panel - Complete,,,39
101104,Manual Test Station Enclosure - Cover - Silk,,,39
101105,Manual Test Station Enclosure - Cover - Complete,,,39
101106,Manual Test Station Enclosure - Base - Mach,,,39
101107,Manual Test Station Enclosure - Base - Complete,,,39
101108,High Power SP6,SAE,,38
101109,Mounting Hardware LARGE SQUARE GRAY TAPERED,3M,SJ-5523,33
101110,Control Computer CPU,Dell,00PKF,33
101111,"Control Computer 19"" Display",Dell,XYF7K,33
101113,RG CAL Board SP4.0,"SAE Circuits Colorado, Inc.",,38
101114,Magnetic Field Hazard Label,,,41
101117,RG CAL Enclosure End Plate - Banana (OUTPUT?)  - Mach & Silk Screen,,,39
101118,RG CAL Enclosure End Plate - CBITS (INPUT?)  - Mach & Silk Screen,,,39
101119,CAL/UHV/RG CAL Enclosure w/End Plates,,1455T2201,39
101121,.5A Magnetic Switch 10-19AT,Coto Technology,RI-27AAA,30
101122,25POS Open Cover Plug D-Sub,3M,8225-6000,4
101123,1K Ohm 1/2W ±1%,Stackpole Electronics Inc,RNCP1206FTD1K00,1
101124,110POS Vert. Header Typ-B,3M,CP2-HB110-GE1-TG30,4
101127,Test Station Mux Board SP2,,101127,38
101129,Low Leakage Mux SP1,,,38
101130,8POS VH Housing Female,"JST Sales America, Inc.",VHR-8N,4
101131,10000pF 50V ±10% CERAM X7R,Murata Electronics,GRM188R71H103KA01D,3
101132,.65-2.5pF 25V,Murata Electronics,TZY2Z2R5A001R00,3
101133,350mW 4.7V ZENER,Fairchild Semiconductor,BZX84C4V7,6
101134,80V 100mA,Panasonic - SSG,DA2J101,6
101135,2.5V ±0.5% VOLTAGE REF,"Diodes, Inc.",LM4040C25FTA,25
101136,636NM SUPER RED LED,Lumex,SML-LX0805SIC-TR,7
101137,610NM SUPER ORANGE LED,Lumex,SML-LX0805SOC-TR,7
101138,574NM SUPER GREEN LED,Lumex,SML-LX0805SUGC-TR,7
101139,14Pos Shrouded Header Male,Molex,87832-1420,4
101140,50 Ohm 0.5A Reed Relay SIP,Coto Technology,9002-12-00,29
101141,13W3 Combo D-Sub RECEPT RA Solder Cup,CONEC,3013W3SCT56N40X,4
101142,20Pos 2x10 Header Receptacle Female,Tyco Electronics,6-534206-0,4
101143,60V 2.5A P-CH,STMicroelectronics,STN3PF06,27
101144,40V GP NPN,Micro Commercial Co,MMBT3904-TP,2
101145,60V 4A N-CH,STMicroelectronics,STN3NF06,27
101146,100 Ohm 1/10W ±1%,Panasonic - ECG,ERJ-3EKF1000V,1
101147,383 Ohm 1/10W ±1%,Panasonic - ECG,ERJ-3EKF3830V,1
101148,5.62 Ohm 1/4W ±1%,Vishay/Dale,CRCW12065R62FKEA,1
101149,4.70M Ohm 1/10W ±1%,Yageo Corporation,RC0603FR-074M7L,1
101150,BUFFER SCHMIT TRIG,Texas Instruments,SN74LVC1G17DBVR,25
101151,500mA 3.3V LN REG LDO,"Micrel, Inc.",MIC5209-3.3YS,25
101152,COMPARATOR TTL/CMOS,"Analog Devices, Inc.",ADCMP608BKSZ-REEL7,25
101153,1MHz 1.8V OPAMP SNGL,Microchip Technology,MCP6001T-I/OT,25
101154,12V DC/DC CONV,Texas Instruments,DCP010512BP-U,25
101155,.8K 36M CELL CPLD,Xilinx,XC9536XL-10VQG44C,25
101156,5V PHOTOVO ISOLATOR DL,International Rectifier,PVI1050NSPBF,25
101157,500mA 5V REG LDO,"Micrel, Inc.",MIC5239-5.0YS TR,25
101158,50MBd 10mA CMOS OPTOCOUPLER,Avago Technologies,HCPL-0723-000E,25
101159,5VDC ESD Suppresor,"Bourns, Inc.",CG0603MLC-05LE,33
101160,8Pos Light Pipe VERT,"Lumex Opto/Components, Inc.",LPA-C081301S-10,33
101161,5V 1000mA 6W DC/DC CONVERTER,Murata Power Solutions Inc,NCS6S1205C,5
101162,10pF 1000V ±5% NP0,Vishay/Vitramon,VJ1206A100JXGAT5Z,3
101163,Heatsink,"Cool Innovations, Inc.",100705UX,33
101164,Heatsink,"Cool Innovations, Inc.",3-100705U,33
101165,1500pF 50V ±10% X7R,AVX Corporation,12065C152KAT2A,3
101166,TMU Conditioning Motherboard SP4.0.0,"SAE Circuits Colorado, Inc.",D19603,38
101167,FTI-2000 Motherboard SP3.0.0,"SAE Circuits Colorado, Inc.",,38
101170,DVSD SP2,"SAE Circuits Colorado, Inc.",,38
101171,1.33M Ohm 1/8W ±1%,Yageo Corporation,RC0805FR-071M33L,1
101172,180K Ohm 1/8W ±0.1%,Susumu Co Ltd,RG2012P-184-B-T5,1
101173,47000pF 50V X7R,AVX Corporation,06035C473KAT2A,3
101174,"12"" Banana Plug Patch Cord Red",Pomona Electronics,B-12-2,36
101175,"12"" Banana Plug Patch Cord Black",Pomona Electronics,B-12-0,36
101176,"12"" Banana Plug Patch Cord Green",Pomona Electronics,B-12-5,36
101177,Nano Board SP7,,,38
101179,DSUB STRAIN RELIEF 37WAY SS,3M,3448-8D37A,4
101180,37POS D-SUB Plug,3M,8237-6000,4
101183,13W3 D-Sub Solder Cup Male,CONEC,3013W3PCM99A10X,4
101185,6-FLIP Mux SP1,,,38
101187,6 Bit BUFF/DVR SCHM TRG,NXP Semiconductors,"74HC7014D,112",25
101188,BUFF/DVR HEX NON-INV,Texas Instruments,SN7407D,25
101189,IC CPLD 72MCRCELL 10NS 44VQFP,"Xilinx, Inc.",XC9572XL-10VQG44C,25
101190,2.5Mhz OPAMP GP,Texas Instruments,OPA454AIDDA,25
101192,TMU TO-220 Daughterboard SP3,"SAE Circuits Colorado, Inc.",,38
101193,TMU TO-254 Daughterboard SP1,"SAE Circuits Colorado, Inc.",,38
101194,8.0-45pF 25V,Murata Electronics,TZY2K450A001R00,3
101195,.01uF 1000V ±10% X7R,Vishay/Vitramon,VJ1206Y103KXGAT5Z,3
101196,"20POS .1"" 30AU Shrouded Header Male",Tyco Electronics,5-103168-8,4
101197,Miniature Spring Socket,Tyco Electronics,1-332070-4,4
101198,Test Points,Tektronix,131-4353-00,4
101199,TVS LOW CAP SMC,Microsemi,SMCJLCE20A,6
101200,Flare Mounted Standoff,???,KFB3-440-16ET,24
101201,100 Ohm 1/4W ±5% CARB,Ohmite,OD101JE,1
101204,Action Push Button Switch Yellow,Philmore Manufacturing,30-785,30
101205,8 AWG D-Subminiature Male,FCI,8638PPS4005LF,4
101206,8 AWG D-Subminiature Female,FCI,8638PSS4005LF,4
101207,8Pos D-Sub Power Receptacle Female,FCI,DC8W8SA00LF,4
101208,8Pos D-Sub Power Plug Male,FCI,DC8W8PA00LF,4
101209,60V 1A Photovoltaic Relay..Sub for 100517,International Rectifier,PVAZ172NSPBF,25
101211,10POS Shrouded Header,3M,2510-6002UB,4
101212,AC Motherboard SP7.5,,101212,38
101213,TMU MOBO Box - db End Plate - Mach & Silk Screen,,,39
101214,TMU MOBO Box - Top Plate - Mach,Precision Design & Machine,,39
101215,1000pF 200V ±5% NP0,AVX Corporation,12062A102JAT2A,3
101216,TMU DB Cover Plate,Precision Design & Machine,,39
101218,4 Pin Mobile Connector Female,Philmore Manufacturing,61-604,4
101219,4 Pin Chassis Socket Male,Philmore Manufacturing,61-624,4
101223,RTFA12A SP1.0.0,,101223,38
101224,TMU TO-205 Daughterboard SP1,"SAE Circuits Colorado, Inc.",D19984,38
101226,34.8K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF3482,1
101228,Rectifier 50V 1A DO-41,Philmore Manufacturing,1N4001-T,4
101229,MOSFET N-CH 800V 4.3A T0-220,Philmore Manufacturing,STP5NK80Z,4
101230,DIODE RECTIFIER 1A 1000V DO-41,Comchip Technology,1N4007-G,6
101231,D-SUB CONN PLUG 25POS W/O INSERT,3M,8225-6000,4
101232,"4"" Banana Plug Patch Cord Black",Pomona Electronics,B-4-0,36
101233,"4"" Banana Plug Patch Cord Green",Pomona Electronics,B-4-5,36
101234,"4"" Banana Plug Patch Cord Red",Pomona Electronics,B-4-2,36
101235,"48"" Banana Plug Patch Cord Red",Pomona Electronics,B-48-2,36
101236,"48"" Banana Plug Patch Cord Green",Pomona Electronics,B-48-5,36
101237,"48"" Banana Plug Patch Cord Black",Pomona Electronics,B-48-0,36
101238,"24"" Banana Plug Patch Cord Red",Pomona Electronics,B-24-2,36
101239,"24"" Banana Plug Patch Cord Green",Pomona Electronics,B-24-5,36
101240,"24"" Banana Plug Patch Cord Black",Pomona Electronics,B-24-0,36
101241,8' RS-232 Meter Cable DB9,Agilent Technologies,34398A,36
101243,Conn Pin Combo-D 10-12AWG Solder,Conec,131C10039X,4
101244,CONN HEADER 36POS .100 VERT GOLD,Molex,22-28-4363,4
101245,PLUG BANA DBL SHORTING BAR BLACK,Pomona,MDP-S-0,4
101246,"TIP CARTRIDGE, SOLDER, 30° CHISEL 0.06IN",Metcal,STTC-138,44
101247,"TIP CARTRIDGE, SOLDER, 30° CHISEL, 0.1IN",Metcal,STTC-136,44
101248,Banana & Binding Post Connectors BANANA PLUG RED,Emerson / Johnson,108-0302-001,4
101249,Banana & Binding Post Connectors BANANA PLUG BLACK,Emerson / Johnson,108-0303-001,4
101250,Banana & Binding Post Connectors BANANA PLUG GREEN,Emerson / Johnson,108-0304-001,4
101251,CONN JACK BANANA INSUL NYLON GREEN,Emerson Network Power,108-0904-001,4
101252,CONN JACK BANANA INSUL NYLON RED,Emerson Network Power,108-0902-001,4
101253,DIODE SIL 10 A 200V HSMC,,S10D-TPMSCT-ND,6
101254,Mosfet N-CH 800V 58A SOT-227,,APT58M80J,27
101255,RES 2.37K OHM 1/8W 1% 0805 SMD,,ERJ-6ENF2371V,1
101256,Heat Sink_T0-22_2.5W _Low_Profile,Aavid Thermalloy,507302B00000G,45
101258,QVI SPIN 3  BLANK PCB,"SAE Circuits Colorado, Inc.",101258,38
101259,IC CAL MUX SP2,SAE,,38
101264,"Enclosure End Plate - 8.66""x6.5""x2"" - BLANK",,1455TAL-10,40
101267,0.1mH 14ga XQ - Perfect Lay Air Core Inductor,,EAV73-14-100,26
101268,1.0mH 10ga XQ - Perfect Lay Air Core Inductor,,EAV77-10-1000,26
101269,0.1mH 14ga XQ - Perfect Lay Air Core Inductor,,EAV78-10-3000,26
101270,0.01mH 14ga ALq - Air core inductor with clear bobbin,,EAC13-14-010,26
101271,10.0mH 14ga XQ - Perfect Lay Air Core Inductor,,EAV78-14-10000,26
101272,0.30mH 14ga XQ - Perfect Lay Air Core Inductor,,EAV73-14-300,26
101278,Test Station Mux Enclosure - Case,,,40
101279,4 Pin Chassis Socket Male,Philmore Manufacturing,61-624,4
101280,Test Station Mux Enclosure Cover,,,40
101281,Cal Box - Blank,,,40
101282,"Enclosure - 8.66""x6.5""x2"" Black Plastic Bezel",Hammond,1455TBBK-10,40
101283,Cal Box - End Plates ..CBITS SILKED,,,40
101285,Enclosure End Plate - CAL/IC/QVI - CBITs End  - Silked,Rainbow Signs,,40
101286,Enclosure End Plate - CAL/IC - Banana/Ribbon End  - Silked,Rainbow Signs,,40
101287,Enclosure Cover Strip Plate,Precision Machine,,40
101288,TMU BLANK BOX,,,40
101289,TMU BOX Top Cover Plate -  Milled,,,40
101291,TMU BOX BEZEL,,,40
101292,TMU BLANK END PLATE,,,40
101293,TMU END PLATE CBITS NOT SILKED,,,40
101294,RG CAL BLANK BOX,Hammond,1455N1601,40
101295,RG CAL BOX BEZEL,,,40
101296,DUAL DIE MUX BLANK BOX,,,40
101297,DUAL DIE MUX OUTPUT ADAPTER PLATE NOT SILKED,,,40
101298,DUAL DIE MUX HANDLER PLATE NOT SILKED,,,40
101299,DUAL DIE MUX BEZEL,,,40
101300,POWER SUPPLY ENCLOSURE TOP AND BOTTOM,,,40
101301,POWER SUPPLY ENCLOSURE BOTTOM,,,40
101302,26POS IDC Socket Gold Pol,,89126-0101,4
101303,STRAIN RELIEF 26 POS IDC SOCKET,,3448-89126,4
101304,CONN 40 POS IDC SOCKET GOLD POL..,,89140-0101,4
101305,STRAIN RELIEF 25 POS IDC SOCKET METAL,,3448-8D25A,4
101306,STRAIN RELIEF 37 POS METAL,,3448-8D37A,4
101307,STRAIN RELIEF 40 POS IDC SOCKET..,,3448-89140,4
101308,D-SUB CONN RECEPT 37POS W/INSERT,,8337-6003,4
101309,D-SUB CONN RECEPT 25POS W/INSERT,,8325-6003,4
101310,D-SUB CONN PLUG 37POS W/O INSERT..,,8237-6000,4
101311,D-SUB 25 POS COVER STRIP ALUM,,,4
101312,D-SUB 37 POS COVER STRIP SLUM,,,4
101313,Plastic Inductor Washer 4x93 w 0.5 Hole,,,24
101314,NYLON NUT 1/2-13,,NYHN1213,24
101315,NYLON BOLT 1/2-13x2,,NYHC12132,24
101316,FAN AXIAL 12V 92X25 3600RPM,,3610KL04WB60E00,39
101317,FINGER GUARD 92MM METAL,,8451,39
101318,"Indicator, Pnl-Mnt; PANEL INDICATOR",,SSI-LXR3816SGD-150,40
101319,CONN JACK SHV BULKHD SOLDER AU..,,51494-2,39
101320,CONN JACK SHV BULKHD SOLDER AU..,,51494-2,39
101321,10mH INDUCTOR ASSEMBLY,,,39
101322,3mH INDUCTOR ASSEMBLY,,,39
101323,1mH INDUCTOR ASSEMBLY,,,39
101324,0.3mH INDUCTOR ASSEMBLY,,,39
101325,0.1mH INDUCTOR ASSEMBLY,,,39
101326,0.01mH INDUCTOR ASSEMBLY,,,39
101327,INDUCTOR BOX BASE ASSEMBLY,,,39
101328,BINARY INDUCTOR BOX ASSEMBLY,,,39
101329,LED POWER INDICATOR ASSEMBLY,,,39
101356,Resistor10 Ohm 1/8W ±.1%,,CR1206-8W-10r0ft,1
101357,Resistor 1206 100 Ohm 1% 1/4W,,CRCW1206100RFKEA,1
101360,Banana Plug Nickel,,530-108-0750-1,4
101363,"RF CONNECTOR PC JCK .155"" GLD",,901-144,4
101364,DB-SOT-23 Spin 1 SIERRA CIRUITS 235990-INTJ-1,,,38
101368,CONN DSUB COMBO 21P 21WA4 SKT RA,Conec,321WA4SCT56N40X,4
101369,Relay Reed SIP SPST 5V,Pickering,111-1-A-5/1,29
101371,RES 1.00K OHM 1/10W 1% 0603 SMD..,Panasonic,ERJ-3GEYJ102V,1
101373,RES 5.9K OHM 1/10W 1% 0603 SMD....,Panasonic,ERJ-3EKF5901V,1
101375,1000pF ±10% 100V Ceramic 3 X7R 0603 (1608 Metric),TDK Corporation,C1608X7R2A102K080AA,3
101376,CAP CER 0.1UF 16V 10CAP CERM 0.47uF -20% +80%% 16V Y5V 0603,Panasonic,ECJ-1VF1C474Z,3
101377,CAP CERM 10uF 20% 16V X5R 0805,TDK Corp,C2012X5R1C106M085AC,3
101379,IC VOLT COMPARATOR QUAD 14-SOP Open Collector,Texas Instruments,LM339DR,25
101380,IC FLASH 32MBIT 100MHZ 8SOIC,Adesto Technologies,AT25DQ321-SH-B,25
101381,Dual Extended Mux SP1,"Bay Area Circuits, Inc.",,38
101382,High Power SP6,"Bay Area Circuits, Inc.",,38
101383,Headers & Wire Housings CST-100 CRIMP CNT,TE,770666-1,4
101384,Headers & Wire Housings 2P CST-100 HOUSING,TE,770602-2,4
101385,FUSE FAST 125VAC 4A RADIAL,TE,39514000440,4
101386,4A Fuse for CC,,,23
101388,RES 100 OHM 1/10W 5% 0402 SMD,Panasonic Electronic Component,ERJ-2GEJ101X,1
101390,RES 0.0 OHM 1/10W 0603 SMD,Panasonic,ERJ-3GEY0R00V,1
101391,AP CER 10000PF 100V X7R 0603,TDK,C1608X7R2A103K080AA,3
101392,CAP CER 0.1UF 16V 10% X5R 0402,TDK Corp,C1005X5R1C104K050BA,3
101393,Hard Metric Connectors 110P Z/PK F/M HDR,3M,5352152-1,4
101394,INDUCTOR HIGH CURRENT 8.2UH SMD,Cooper Bussman,HCM0703-8R2-R,26
101395,DUAL PIN DRIVER,Maxim Integrated,MAX9979KCTK,25
101396,IC REG LDO 15V 2A TO-220,STMicroelectronics,L78S15CV,25
101397,C REG BUCK ADJ 3A 8PSOP,Texas Instruments,LM22670MRE-ADJ/NOPB,25
101398,IC FPGA SPARTAN 6 74K 484CSGBGA,Xilinx Inc,XC6SLX75-2CSG484C,25
101399,IC SDRAM 1GB 166MHZ 90VFBGA,Micron Technology Inc,MT46H32M32LFB5-6 IT,25
101400,IC ADC 12BIT SRL/PAR 64LQFP,Texas Instruments,ADS8528SPM,25
101401,CAP CER 33PF 2KV 10% NP0 1206,Kemet,C1206C330KGGACTU,3
101402,INDUCTOR 47UH .76A 10% AXIAL,Abracon Corp.,AIAP-01-470-K-T,26
101403,DIODE SMALL SIG 125V 0.2A SOD80,Fairchild Semiconductor,FDLL300A,6
101404,CONN HEADER XH TOP 3POS 2.5MM..,JST Sales America Inc,B3B-XH-AM(LF)(SN)(P),4
101405,CONN HEADER 4POS 2.5MM STR TIN....,Hirose Electric Co Ltd,DF1EC-4P-2.5DSA(05),4
101406,CONN HEADER TYP-B 110POS VERT AU....,FCI,HM2P70PDE121N9LF,4
101407,CONN RECEPT 2MM DUAL SMD 40POS......,Sullins Connector Solutions,NPPN202FFKS-RC,4
101408,FUSE STRIP 60 W/O HOUSING250A......,Littelfuse Inc,157.5700.6251,23
101409,RES 330 OHM 3/4W 5% 2010 SMD....,Panasonic Electronic Component,ERJ-12ZYJ331U,1
101410,RES 390 OHM 1W 5% 2512 SMD....,Panasonic Electronic Component,ERJ-1TYJ391U,1
101411,IC CONTROLLR LI-ION 4.2V 8-MSOP....,Microchip Technology,MCP73828-4.2VUA,1
101412,IC BATT CHRGR LI-ION 24VQFN....,Texas Instruments,BQ24272RGET,25
101413,MOSFET 230 Amps 75V....,IXYS,IXTP230N075T2,25
101414,CONN HEADER 2MM DUAL STR 40POS....,Sullins Connector Solutions,NRPN202PAEN-RC,4
101415,RES 82 OHM 1W 10% AXIAL..,OHMITE,OA820KE,1
101416,HEADER TERM BLOCK 3POS 10.16MM,PHOENIX CONTACT,1969700,4
101417,IC REG LDO 2.2V 1A SOT223-3,"DIODES, INC",AP1117E33G-13,25
101418,RELAY SSR 50A 240VAC AC,CRYDOM CO,D2450-10,29
101419,D-SUB MIXED CONTACT CONNECTORS C37 WAY SHELL PIN,FCI,DC21WA4PA00LF,4
101420,Current Sense Resistors - SMD .001ohm 100watt 1% 4 Terminal SOT227,Ohmite,TGHGCR0010FE,1
101421,MOSFET N-CH 600V 106A TO-247,MICROSEMI POWER PRODUCTS GROUP,APT106N60B2C6,27
101422,SOCKET RELAY PC MNT FOR VF4 SER,TE CONNECTIVITY,VCF4-1000,4
101423,IC OPAMP BUFFER 100MHZ 8SOPWRPAD,TEXAS INSTRUMENTS,LMH6321MR/NOPB,25
101424,CAP CER 39PF 3KV 10% NP0 1808,TDK CORP,C4520C0G3F390K160KA,3
101425,CAP CER 15PF 3KV 10% NP0 1808,TDK CORP,C4520C0G3F150K110KA,3
101426,IC DRIVER HV HI/LOW SIDE 16SOIC,ST MICRO,L6390DTR,25
101427,MOSFET N-CH 650 0.014 OHM,ST MICRO,STY139N65M5,27
101428,SCHOTTKY DIODE 20A 600V,ROHM,SCS220AGC,6
101429,MOSFET N-CH 24V 429A D2PAK-7,IR,IRF1324S-7PPBF,27
101430,AUTOMOTIVE RELAYS 40A 12VDC 1 FORM C SEALED QC,PANASONIC,CB1-12V,29
101432,IC INVERTER HEX 1INPUT 14SOICN,TEXAS INSTRUMENTS,SN74LV06ADR,25
101433,IS OSC MONO TIMING 2.1 MHZ,TEXAS INSTRUMENTS,TLC555CD,25
101434,Heavy Duty Power Connectors 2Rx8P R/A PCB RECEPT SLDR SNAP W/ LATCH,Anderson Power Products,PM216FRALSB,4
101435,RF Connectors / Coaxial Connectors BNC JACK VERT PCB 75OHM,Molex,73171-1900,4
101436,IC REG INV 1A TSOT23-5,Linear Technology,LT1931AES5#TRMPBF,25
101437,Heavy Duty Power Connectors 2Rx8P R/A PCB MALE BRACKET W/ LATCH,Anderson Power Products,PM216MRALSB,4
101438,CONN 40POS 2MM SOCKET VERT PC MT,3M,150240-6002-RB,4
101439,DIL VERTICAL PC TAIL PIN HEADER,Harwin Inc,M22-2581005,4
101441,LED IND 5MM RA RED/GRN WHT DIFF,Kingbright Company LLC,WP59BL/EGW,7
101442,IC CPLD 144MC 10NS 144TQFP,Xilinx Inc,XC95144XL-10TQG144C,25
101443,CAP ALUM 470UF 20% 25V SMD,PANASONIC,EEE-FK1E471P,3
101444,CAP ALUM 680UF 16V 20% SMD,PANASONIC,EEE-FK1C681P,3
101445,MBXL VERT RCPT 4P+16S+3P,TE Connectivity,5-6450540-4,4
101446,MBXLVERTHDR4P+16S+3P,TE Connectivity,2-6600333-5,4
101447,Heavy Duty Power Connectors 3Rx8P R/A PCB FEMALE BRACKET W/ LATCH,Anderson Power Products,PM324FRALSB,4
101449,RES SMD 40.2 OHM 1% 1/4W 1206,Yageo,RC1206FR-0740R2L,1
101450,RES SMD 1.5K OHM 1% 1/8W 0805,Panasonic - ECG,ERJ-6ENF1501V,1
101451,IC 8CH ANALOG SWITCH 48LQFP,Microchip Technology,HV2201FG-G-M931,25
101452,TERM BLOCK HDR 6POS R/A 10.16MM,Phoenix Contact,1998975,4
101453,Digital to Analog Converters - DAC Quad 16 bit 4-ch w/ I2C interface,Analog Devices,AD5696BRUZ,25
101454,CONVERT DC/DC 2W 15V 133MA OUT,"CUI, INC.",PDM2-S12-S15-S,5
101455,SWITCH POWER 250MA 800VAC 6-SMT,IXYX,CPC1972GSTR,30
101456,DPDT-NO 12VDC,OMRON,G6B-2214P-US-DC12,29
101457,RES SMD 0.2 OHM 1% 2W 4527,Vishay Dale,WSR2R2000FEA,1
101458,RES SMD 2.37K OHM 0.1% 1/8W 0805,Panasonic Electronic Components,ERA-6AEB2371V,1
101459,IC COMPARATOR TTL SNGL HS 8-SOIC,Maxim,MAX913CSA+,25
101460,CAP CER 680PF 50V 5% NP0 0805,Murata Electronics North America,GRM2165C1H681JA01D,3
101461,CAP CER 1300PF 50V 5% NP0 0805,Murata Electronics North America,GRM2165C1H132JA01D,3
101462,CAP CER 8200PF 50V 5% NP0 0805,Murata Electronics North America,GRM2195C1H822JA01D,3
101463,CAP CER 2000PF 50V 5% NP0 0805,Murata Electronics North America,GRM2165C1H202JA01D,3
101464,CAP CER 0.022UF 50V 5% NP0 0805,Murata Electronics North America,GRM21B5C1H223JA01L,3
101465,CAP CER 3300PF 100V 5% NP0 0805,Murata Electronics North America,GCM2165C2A332JA16D,3
101466,CAP CER 47PF 2KV 5% NP0 1206,Johanson Dielectrics Inc.,202R18N470JV4E,3
101467,CONN CARDEDGE PIN 0.156 RIGHT ANGLE,Sullins Connector Solutions,ACM22DRAH,4
101468,CONN CARDEDGE 44PIN 0.156 VERTICAL,Sullins Connector Solutions,ACM22DRXH,4
101469,SENSOR CURRENT HALL 200A AC/DC,LEM USA Inc,LA200-P,33
101470,DPST-NO 5A 12VDC Coil Relay,Omron Electronics,G6B-2214P-US-P6B DC12,29
101471,CONN SOCKET RCPT .026-.029 30AU,TE Connectivity,3-5331677-8,4
101472,MOSFET N-CH 650V 130A MAX247,STMicroelectronics,STY139N65M5,27
101473,CONN HEADER 14 POS RT ANGLE GOLD,3M,N2514-5002-RB,4
101474,CAP CER 10UF 100V X7S 2220,TDK Corporation,C5750X7S2A106M230KB,3
101475,10P STR HEADER LONG LATCH,3M,D3793-6302-AR,4
101476,"THERMAL PAD TO-220 .009"" SP600",Bergquist,SP600-58,45
101479,IC MOBO SPIN 4 - BLANK PCB,SAE,,38
