assembly_id,serial,version,date,category_id,notes
86,27,1.0.0,2013-05-13,53,
89,27,4.1.0,2013-03-15,50,To replace failed HP SP4
74,27,8.0.4,2011-07-07,50,
94,27,2.0.0,2011-07-07,50,Available in-house inventory 5/18/11
80,27,1.1.0,2011-06-20,50,Shipped with Low leakage Mux 002
92,27,5.1.1,2010-11-30,50,
82,27,5.1.0,2010-06-01,53,
51,27,2.1.0,2010-05-24,50,
95,27,6.1.0,2009-11-18,53,
25,27,3.0.0,,53,
40,27,3.10.0.2.0.1.2,,50,
46,27,3.1.0,,53,
64,27,4,,48,
65,28,4.0.1,2019-03-29,49,
49,28,3.2.0,2016-10-04,50,
63,28,2.2.0-0.0.2.0,2016-09-06,51,
35,28,2.6.2-1.0.0.0,2016-05-16,50,
40,28,3.22.0-2.0.0.2,2013-12-17,50,
74,28,8.0.2,2012-01-18,50,
88,28,5.6.0,2011-04-29,50,
95,28,6.1.0,2010-11-24,50,
52,28,2.91.0,2010-10-15,50,
82,28,5.1.1,2010-08-07,53,
92,28,5.2.0,2010-02-04,50,
80,28,1.0.1,,53,
27,28,2.0.0,,53,
64,28,4,,48,
65,29,4.0.1,2019-03-29,50,
49,29,3.2.0,2016-10-04,50,
63,29,2.2.0-0.0.2.0,2016-09-20,50,
35,29,2.6.2-1.0.0.0,2016-05-16,50,
40,29,3.22.0-0.0.0.1,2014-11-14,50,
74,29,8.0.2,2013-02-01,50,Returned to Boulder in exchange for #21
88,29,5.1.4,2011-03-21,50,
52,29,2.91.0,2010-10-15,50,
82,29,5.1.1,2010-08-31,53,
92,29,5.1.1,2010-05-07,50,Unmarked
80,29,1.0.1,,53,
27,29,2.0.0,,53,
95,29,6.1.0,,53,
64,29,4,,48,
65,30,4.0.1,2019-03-29,49,
49,30,3.2.0,2016-12-20,51,
63,30,2.2.0-0.0.0.0,2016-09-20,50,
35,30,2.6.2-1.0.0.0,2016-05-16,50,
40,30,3.22.0-0.0.0.1,2014-12-17,50,
74,30,8.0.2,2011-11-01,50,
52,30,2.91.0,2010-10-15,50,
82,30,5.1.1,2010-05-24,53,
96,30,4 Special,2010-05-13,50,Schematic in customer shippment folder
88,30,5.1.2,2010-04-23,53,
95,30,6.1.0,2009-11-10,53,
80,30,1.0.1,,53,
27,30,2.0.0,,53,
65,31,4.0.1,2019-03-29,49,
35,31,2.6.2-1.0.0.0,2018-01-18,50,Brought up in Manila
49,31,3.2.0,2016-04-18,53,
40,31,3.22.0-0.0.0.1,2015-05-13,50,
81,31,6.50.0,2013-12-17,50,
80,31,1.0.1,2012-02-23,50,
95,31,6.1.1,2011-03-30,50,
